"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"687","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=836919 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"688","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=838379 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"689","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"690","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=841299 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"691","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=842759 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"692","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"693","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=845679 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"694","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=847139 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"695","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"696","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=850059 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"697","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=851519 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"698","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
