"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"6854","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6855","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9384094 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6856","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9385554 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6857","2.972997","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9387014 Win=792320 Len=0","3095"
"6858","2.973235","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6859","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9388474 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6860","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9389934 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6861","2.973235","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6862","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9392854 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6863","2.973235","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6864","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9395774 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6865","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9397234 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6866","2.973235","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6867","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9400154 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6868","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9401614 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6869","2.973235","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6870","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9404534 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6871","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9405994 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6872","2.973235","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6873","2.973235","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9408914 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6874","2.973587","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9410374 Win=769024 Len=0","3004"
"6875","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9410374 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6876","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6877","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9413294 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6878","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6879","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9416214 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6880","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9417674 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6881","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6882","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9420594 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6883","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9422054 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6884","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6885","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9424974 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6886","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9426434 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6887","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6888","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9429354 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6889","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9430814 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6890","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6891","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9433734 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6892","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9435194 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6893","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6894","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9438114 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6895","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6896","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9441034 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6897","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9442494 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6898","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6899","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9445414 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6900","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9446874 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6901","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6902","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9449794 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6903","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9451254 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6904","2.974404","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6905","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9454174 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6906","2.974404","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9455634 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6907","2.975001","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9457094 Win=722176 Len=0","2821"
"6908","2.975271","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6909","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9458554 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6910","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9460014 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6911","2.975271","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6912","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9462934 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6913","2.975271","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6914","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9465854 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6915","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9467314 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6916","2.975271","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6917","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9470234 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6918","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9471694 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6919","2.975271","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6920","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9474614 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6921","2.975271","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9476074 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6922","2.975519","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9477534 Win=701696 Len=0","2741"
"6923","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6924","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9478994 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6925","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9480454 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6926","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6927","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9483374 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6928","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9484834 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
